GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate
20185029963,5,BURGLARY OF VEHICLE,Theft,2018-08-06,3755 S CAPITAL OF TEXAS HWY NB,N,2018-08-06,D,78704,19.01,3096408,10061249
20182171622,1,THEFT BY SHOPLIFTING,Theft,2018-08-05,5029 MANOR RD,C,2018-08-06,C,78723,21.07,3131715,10081963
20182661180,7,THEFT,Theft,2018-09-23,8224 BURNET RD,N,2018-09-27,B,78757,18.17,3117639,10105167
20188004183,8,THEFT FROM PERSON,Theft,2018-10-15,2100 BARTON SPRINGS RD,N,2018-10-24,D,78746,19.11,3106393,10070460
20185030228,4,BURGLARY OF VEHICLE,Theft,2018-08-07,408 HAMMACK DR,N,2018-08-07,I,78752,15.03,3121256,10093267
20182710841,4,AUTO THEFT,Auto Theft,2018-09-28,1200 RIDGEMONT DR,N,2019-03-04,I,78723,21.04,3126418,10087823
20182320588,3,RAPE OF A CHILD,Rape,2018-08-20,,C,2019-04-17,H,78741,23.13,,
20183500631,7,BURGLARY OF VEHICLE,Theft,2018-12-16,1500 E PARMER LN,N,2018-12-17,E,78753,18.39,3142154,10115695
20182710286,10,AUTO THEFT,Auto Theft,2018-09-28,5608 CLARION CV,N,2018-10-03,B,78746,19.13,3093735,10090420
20185043825,7,BURGLARY OF VEHICLE,Theft,2018-11-01,8712 MILLWAY DR,N,2018-11-01,B,78757,18.17,3115821,10109254
20183001430,9,AUTO THEFT,Auto Theft,2018-10-27,901 MARIPOSA DR,,,H,78704,14.02,3114060,10061071
20185039908,8,THEFT,Theft,2018-10-08,2041 LOU NEFF RD,N,2018-10-08,D,78746,19.11,3107818,10070086
20185043439,3,BURGLARY OF VEHICLE,Theft,2018-10-30,1301 CROSSING PL,N,2018-11-08,H,78741,23.17,3123895,10059508
20182280843,4,BURGLARY NON RESIDENCE,Burglary,2018-08-16,1734 RUTLAND DR,C,2019-01-14,E,78758,18.21,3123688,10110042
20182170124,10,RAPE,Rape,2018-08-05,,N,2018-08-15,A,78759,17.56,,
20185033888,7,THEFT,Theft,2018-08-29,1910 W BRAKER LN,,,E,78758,18.44,3124642,10116191
20185048694,7,THEFT,Theft,2018-12-04,7414 BURNET RD,N,2018-12-06,B,78757,15.01,3116028,10100691
20185048785,8,BURGLARY OF VEHICLE,Theft,2018-12-04,5604 SOUTHWEST PKWY,N,2018-12-06,D,78735,19.14,3082154,10062686
20183050799,3,BURGLARY OF RESIDENCE,Burglary,2018-11-01,308 BRAESWOOD RD,N,2018-11-19,D,78704,23.08,3110061,10055801
20185045548,2,BURGLARY OF VEHICLE,Theft,2018-11-12,4911 S IH 35 SVRD NB,N,2018-11-14,F,78744,24.11,3110342,10048148
20182721599,3,AUTO THEFT,Auto Theft,2018-09-29,1605 E OLTORF ST,C,2018-10-04,H,78741,23.07,3115313,10057874
20185037944,9,THEFT,Theft,2018-09-24,43 RAINEY ST,N,2018-09-26,G,78701,11,3115463,10066390
20185045867,1,THEFT BY SHOPLIFTING,Theft,2018-11-14,5618 MANOR RD,N,2018-11-15,I,78723,21.06,3133247,10084440
20182961613,4,THEFT,Theft,2018-10-23,8800 N IH 35 SVRD SB,N,2018-10-25,E,78753,18.06,3129362,10101733
20182111061,7,THEFT,Theft,2018-07-30,1434 W WELLS BRANCH PKWY,C,2018-07-30,E,78660,18.4,3137594,10134827
20185036808,10,THEFT BY SHOPLIFTING,Theft,2018-09-17,9828 GREAT HILLS TRL,N,2018-09-24,A,78759,17.22,3111519,10116674
20183310462,1,BURGLARY OF RESIDENCE,Burglary,2018-11-27,12001 DESSAU RD,N,2018-11-28,E,78754,18.34,3141598,10111856
20182280870,9,THEFT BY SHOPLIFTING,Theft,2018-08-16,1201 BARBARA JORDAN BLVD,C,2018-08-21,B,78723,3.06,3124601,10084923
20182751481,7,BURGLARY OF RESIDENCE,Burglary,2018-10-02,14233 THE LAKES BLVD,N,2018-12-21,E,78660,18.4,3137385,10129939
20182480665,6,BURGLARY NON RESIDENCE,Burglary,2018-09-05,12611 RESEARCH BLVD NB,N,2018-09-13,A,78727,17.86,3106621,10130125
20182980326,1,BURGLARY OF VEHICLE,Theft,2018-10-25,12000 DESSAU RD,N,2018-11-01,E,78753,18.35,3141263,10112276
20185042442,5,BURGLARY OF VEHICLE,Theft,2018-10-23,2100 MONTCLAIRE ST,N,2018-11-19,D,78704,13.04,3103135,10063247
20185047914,7,THEFT BY SHOPLIFTING,Theft,2018-11-29,1420 W WELLS BRANCH PKWY,N,2018-12-05,E,78660,18.4,3138009,10134575
20181760890,7,ROBBERY BY ASSAULT,Robbery,2018-06-25,4610 SHOAL CREEK BLVD,N,2018-12-17,B,78756,2.06,3113255,10089610
20185033008,5,BURGLARY OF VEHICLE,Theft,2018-08-24,6212 MANCHACA RD,N,2018-08-29,D,78745,17.13,3095456,10049363
20182520681,4,AGG ASSAULT,Agg Assault,2018-09-09,W RUNDBERG LN / N LAMAR BLVD,N,2018-09-19,E,78758,18.19,3127942,10105660
20185033483,5,THEFT FROM AUTO,Theft,2018-08-27,1725 MONAHANS LN,N,2018-09-05,F,78748,17.72,3086978,10029498
20188004704,9,THEFT,Theft,2018-11-28,306 E LIVE OAK ST,N,2018-12-06,H,78704,14.01,3112239,10060884
20183210773,4,BURGLARY OF RESIDENCE,Burglary,2018-11-17,9133 NORTHGATE BLVD,C,2018-12-27,E,78758,18.2,3121931,10108440
20182730884,9,AUTO THEFT,Auto Theft,2018-09-30,905 W 30TH ST,N,2018-09-30,B,78705,2.04,3112986,10081790
20185023590,7,THEFT BY SHOPLIFTING,Theft,2018-06-22,1316 W BRAKER LN,N,2018-06-25,E,78758,18.45,3128369,10114047
20185049298,5,THEFT BY SHOPLIFTING,Theft,2018-12-07,4032 S LAMAR BLVD SB,N,2018-12-20,D,78704,19.01,3098416,10059043
20182451443,5,AUTO THEFT,Auto Theft,2018-09-02,710 AZIE MORTON RD,,,D,78704,19.01,3106636,10068576
20182561581,3,BURGLARY OF RESIDENCE,Burglary,2018-09-13,3300 PARKER LN,N,2018-09-18,H,78741,23.07,3114830,10054201
20181770227,2,BURGLARY OF RESIDENCE,Burglary,2018-06-26,7608 MARBLE CREST DR,N,2019-03-06,F,78747,24.26,3115356,10032830
20185044347,7,BURGLARY OF VEHICLE,Theft,2018-11-05,8400 RESEARCH BLVD NB,N,2018-11-05,I,78758,18.18,3121960,10103868
20185038164,9,THEFT,Theft,2018-09-25,600 TRINITY ST,N,2018-09-26,G,78701,11,3115403,10070458
20181721129,4,AGG ASSAULT FAM/DATE VIOLENCE,Agg Assault,2018-06-21,1521 REAGAN HILL DR,C,2018-06-26,I,78752,18.11,3130766,10092120
20185043286,10,THEFT FROM AUTO,Theft,2018-10-29,10926 JOLLYVILLE RD,N,2018-11-01,A,78759,17.22,3111484,10120005
20185041661,2,THEFT,Theft,2018-10-17,6212 CROW LN,N,2018-12-07,F,78745,24.02,3105649,10044814
20185043472,7,THEFT BY SHOPLIFTING,Theft,2018-10-30,8000 SHOAL CREEK BLVD,N,2018-10-31,B,78757,18.17,3114068,10105913
20185027160,8,BURGLARY OF VEHICLE,Theft,2018-07-18,8701 LA CRESADA DR,N,2018-07-18,D,78749,17.37,3076669,10047763
20185043308,4,BURGLARY OF VEHICLE,Theft,2018-10-29,9200 NORTH PLZ,N,2018-11-01,E,78753,18.13,3131540,10102640
20183451374,2,THEFT BY SHOPLIFTING,Theft,2018-12-11,730 W STASSNEY LN,C,2018-12-11,D,78745,24.1,3102401,10049301
20183090683,8,BURGLARY OF VEHICLE,Theft,2018-11-05,12528 BISMARK DR,N,2018-11-07,F,78739,17.75,3079832,10025043
20183540931,6,THEFT,Theft,2018-12-20,11200 LAKELINE MALL DR,N,2019-01-02,A,78613,203.18,3092523,10143915
