GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,GO X Coordinate,GO Y Coordinate,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract
20185023655,7,THEFT,Theft,22-Jun-18,9100 WATERFORD CENTRE BLVD,3117292.00,10110324,N,24-Aug-18,A,78758,18.49
20181990534,8,BURGLARY OF VEHICLE,Theft,18-Jul-18,3800 S MOPAC EXPY SVRD SB,3093841.00,10062029,N,9-Feb-19,D,78746,19.17
20188002861,6,BURGLARY OF VEHICLE,Theft,29-Jul-18,10707 LAKE CREEK PKWY,3092956.00,10138175,N,1-Aug-18,A,78750,204.05
20181921761,2,AGG ROBBERY/DEADLY WEAPON,Robbery,11-Jul-18,6805 FELIPE DR,3116505.00,10029455,C,19-Aug-18,F,78747,24.26
20185026142,,THEFT,Theft,11-Jul-18,2408 SANDERS ST,3087051.00,10033842,,,88,78748,17.48
20185029445,2,BURGLARY OF VEHICLE,Theft,2-Aug-18,2101 NOGALES TRL,3107534.00,10039175,N,7-Aug-18,F,78744,24.27
20181981081,9,AUTO THEFT,Auto Theft,17-Jul-18,W 4TH ST / SAN ANTONIO ST,3112657.00,10070502,N,18-Jul-18,G,78701,11
20185038812,7,BURGLARY OF VEHICLE,Theft,30-Sep-18,8101 STILLWOOD LN,3116267.00,10105158,N,1-Oct-18,B,78757,18.17
20181770573,1,THEFT FROM PERSON,Theft,26-Jun-18,1190 AIRPORT BLVD,3127440.00,10073640,N,9-Jul-18,C,78702,8.02
20182820993,9,BURGLARY OF RESIDENCE,Burglary,9-Oct-18,504 W NORTH LOOP BLVD,3119058.00,10089728,N,10-Oct-18,I,78751,3.05
20185029068,3,BURGLARY OF VEHICLE,Theft,30-Jul-18,400 GROVE BLVD,3127604.00,10062111,N,31-Jul-18,H,78741,23.17
20188003140,9,THEFT OF BICYCLE,Theft,16-Aug-18,2824 RIO GRANDE ST,3113637.00,10080644,N,20-Aug-18,B,78705,6.03
20182730021,3,AGG ROBBERY/DEADLY WEAPON,Robbery,30-Sep-18,3603 SOUTHRIDGE DR,3103672.00,10058133,N,18-Feb-19,D,78704,20.05
20185033894,8,THEFT BY SHOPLIFTING,Theft,29-Aug-18,2901 S CAPITAL OF TEXAS HWY NB,3094135.00,10066586,N,30-Aug-18,D,78746,19.1
20185026370,9,THEFT OF BICYCLE,Theft,12-Jul-18,2819 RIO GRANDE ST,3113811.00,10080566,N,12-Jul-18,B,78705,6.03
20185024198,7,THEFT OF LICENSE PLATE,Theft,26-Jun-18,2438 W ANDERSON LN,3117181.00,10103209,N,2-Jul-18,B,78757,18.17
20185032226,2,THEFT FROM AUTO,Theft,20-Aug-18,7100 BLUFF SPRINGS RD,3106106.00,10039972,N,24-Aug-18,F,78744,24.27
20188003845,3,BURGLARY OF VEHICLE,Theft,2-Oct-18,1612 WILLOW ST,3119076.00,10067045,N,3-Oct-18,G,78702,10
